"Date","No.","Description","Debit","Credit"
"1/2/2025","","Online Banking Transfer to DDA  1/1/2025 5:57:24 PM  1735775844711","400.00",""
"1/2/2025","","ACH Deposit  EDI PYMNTS ORACLE43913316  091000017762011","","1173.00"
"1/2/2025","","ACH Debit  WEB PMTS   SX-MARKUB  111924688822884","1030.00",""
"1/2/2025","","ACH Debit  AUTOPAY    EVERGY METRO  091000011131268","46.60",""
"1/2/2025","","ACH Debit  Transfer   Acorns Round-Ups  111924681248141","7.08",""
"1/2/2025","","ACH Debit  Transfer   Acorns Later  111924680949405","5.00",""
"1/2/2025","","ACH Debit  Transfer   Acorns Later  111924681821968","5.00",""
"1/3/2025","","ACH Debit  Transfer   Acorns Later  111924682483667","5.00",""
"1/6/2025","","ACH Debit  Transfer   Acorns Later  111924683830794","5.00",""
"1/6/2025","","ACH Debit  Transfer   Acorns Later  111924684325892","5.00",""
"1/6/2025","","ACH Debit  Acorns     Subscription  111924685756317","3.00",""
"1/6/2025","","ACH Debit  Transfer   Acorns Later  111924682961413","5.00",""
"1/7/2025","","ACH Debit  Transfer   Acorns Later  111924684574820","5.00",""
"1/7/2025","","ACH Debit  WEB PMTS   SX-MARKUB  111924681846916","51.59",""
"1/8/2025","","ACH Deposit  CASHOUT    VENMO  091000019305494","","650.00"
"1/8/2025","","Online Banking Transfer to DDA  1/8/2025 4:48:29 PM  1736376509505","1000.00",""
"1/8/2025","","ACH Debit  Transfer   Acorns Later  111924685388308","5.00",""
"1/9/2025","","ACH Debit  Transfer   Acorns Later  111924686141693","5.00",""
"1/10/2025","","ACH Debit  Transfer   Acorns Later  111924686703526","5.00",""
"1/13/2025","","ACH Debit  DEBITS     ROBINHOOD  021000026310574","5.00",""
"1/13/2025","","ACH Debit  Transfer   Acorns Later  111924687266529","5.00",""
"1/13/2025","","ACH Debit  Transfer   Acorns Round-Ups  111924687289994","6.31",""
"1/13/2025","","ACH Debit  Transfer   Acorns Later  111924688011580","5.00",""
"1/13/2025","","ACH Debit  Transfer   Acorns Later  111924688435569","5.00",""
"1/14/2025","","ACH Debit  BMWFS PYMT BMW BANK  021000020175350","430.70",""
"1/14/2025","","ACH Debit  DEBITS     ROBINHOOD  021000025887250","5.00",""
"1/14/2025","","ACH Debit  Transfer   Acorns Later  111924688673256","5.00",""
"1/15/2025","","ACH Debit  Transfer   Acorns Round-Ups  111924689667989","7.35",""
"1/15/2025","","Online Banking Transfer to DDA  1/15/2025 10:51:18 AM  1736959878738","800.00",""
"1/15/2025","","ACH Debit  DEBITS     ROBINHOOD  021000027771167","5.00",""
"1/15/2025","","ACH Debit  Transfer   Acorns Later  111924689479628","5.00",""
"1/15/2025","","ACH Deposit  DIR DEP    Oracle Corporati  091000012530178","","1041.69"
"1/16/2025","","ACH Debit  Transfer   Acorns Later  111924680235574","5.00",""
"1/16/2025","","ACH Debit  DEBITS     ROBINHOOD  021000025141607","5.00",""
"1/17/2025","","ACH Debit  DEBITS     ROBINHOOD  021000026634351","5.00",""
"1/17/2025","","ACH Debit  Transfer   Acorns Later  111924680889199","5.00",""
"1/21/2025","","ACH Debit  DEBITS     ROBINHOOD  021000023454456","5.00",""
"1/21/2025","","ACH Debit  Transfer   Acorns Later  111924681480677","5.00",""
"1/21/2025","","ACH Debit  Transfer   Acorns Later  111924682244155","5.00",""
"1/21/2025","","ACH Debit  Transfer   Acorns Later  111924682719673","5.00",""
"1/22/2025","","ACH Debit  DEBITS     ROBINHOOD  021000025204131","5.00",""
"1/22/2025","","ACH Debit  Transfer   Acorns Later  111924683320041","5.00",""
"1/22/2025","","ACH Debit  Transfer   Acorns Later  111924683753098","5.00",""
"1/23/2025","","ACH Debit  DEBITS     ROBINHOOD  021000026086964","5.00",""
"1/23/2025","","ACH Debit  Transfer   Acorns Later  111924684153101","5.00",""
"1/24/2025","","ACH Debit  DEBITS     ROBINHOOD  021000023715581","5.00",""
"1/24/2025","","ACH Debit  Transfer   Acorns Later  111924684991907","5.00",""
"1/27/2025","","ACH Debit  Transfer   Acorns Later  111924686745990","5.00",""
"1/27/2025","","ACH Debit  Transfer   Acorns Later  111924685580659","5.00",""
"1/27/2025","","ACH Debit  DEBITS     ROBINHOOD  021000024118275","5.00",""
"1/27/2025","","ACH Debit  Transfer   Acorns Later  111924686327082","5.00",""
"1/28/2025","","ACH Debit  DEBITS     ROBINHOOD  021000020001509","5.00",""
"1/28/2025","","ACH Debit  Transfer   Acorns Later  111924686989468","5.00",""
"1/29/2025","","Commerce Mobile Deposit Item","","1118.00"
"1/29/2025","","ACH Debit  DEBITS     ROBINHOOD  021000023834363","5.00",""
"1/29/2025","","ACH Debit  PAYMENT    VENMO  091000018867862","14.00",""
"1/29/2025","","ACH Debit  Transfer   Acorns Later  111924687783804","5.00",""
"1/29/2025","","ACH Debit  Transfer   Acorns Round-Ups  111924687819660","6.76",""
"1/29/2025","","ACH Deposit  DIR DEP    Oracle Corporati  091000012735997","","1076.90"
"1/30/2025","","ACH Debit  DEBITS     ROBINHOOD  021000022839547","5.00",""
"1/30/2025","","ACH Debit  Transfer   Acorns Later  111924688514953","5.00",""
"1/31/2025","","ACH Debit  DEBITS     ROBINHOOD  021000028273558","5.00",""
"1/31/2025","","ACH Debit  Transfer   Acorns Later  111924689083716","5.00",""
